message,label
Rs 25000 has been debited from your account for Swiggy order. Available balance Rs 25000,safe
Last warning: Your Aadhaar linked HDFC account will be deactivated today. Verify now https://refund-claim.tk,scam
Your Netflix subscription has been renewed for Rs 2000,safe
Priya has sent you a payment request of Rs 50000 on SBI. Approve now https://instant-loan-approve.com,scam
"Work from home and earn Rs 25000 per week guaranteed, limited seats, register now https://account-block-alert.xyz",scam
"Priya, your BOB account balance is Rs 100000 as of today",safe
Your electricity connection will be cut tonight. Pay pending bill immediately https://cashback-claim.tk,scam
"Dear user, someone tried to login to your HDFC account. Click to secure your account immediately https://prize-winner-claim.info",scam
"Arush, your Google Pay account balance is Rs 9999 as of today",safe
Get Rs 500 cashback instantly. Just click and enter your UPI PIN to receive https://cashback-claim.tk,scam
Congratulations you are selected for lucky winner prize of Rs 50000. Claim now https://prize-winner-claim.info,scam
Rs 9999 has been debited from your account for Swiggy order. Available balance Rs 10000,safe
Your UPI ID has been used for a transaction of Rs 2000. If not done by you click here to block https://prize-winner-claim.info,scam
"Vikram, your Paytm account balance is Rs 25000 as of today",safe
Your flight PNR FHCH2F is confirmed for tomorrow 6am departure,safe
Rs 25000 sent to Sneha via UPI. Transaction ID 536147256,safe
Rs 9999 credited to your account from salary. Available balance Rs 999,safe
Your Kotak net banking has been locked due to suspicious activity. Unlock here https://account-block-alert.xyz,scam
"abhijeet, your Google Pay account balance is Rs 50000 as of today",safe
Free 1 year subscription waiting for you. Click here to activate https://cashback-claim.tk,scam
"Dear user, someone tried to login to your PNB account. Click to secure your account immediately https://account-block-alert.xyz",scam
Rs 10000 credited to your account from salary. Available balance Rs 999,safe
Your OTP for login is 929053. Do not share this with anyone.,safe
Your BOB net banking has been locked due to suspicious activity. Unlock here https://instant-loan-approve.com,scam
Alert: Your BOB debit card will expire today. Update details on this link https://tinyurl.com/claim-now,scam
Your OTP for login is 326813. Do not share this with anyone.,safe
Last warning: Your Aadhaar linked Google Pay account will be deactivated today. Verify now https://bit.ly/kyc-update,scam
Rs 25000 sent to Amit via UPI. Transaction ID 446607854,safe
You are eligible for a government subsidy of Rs 500. Claim before it expires https://verify-account.xyz,scam
Rs 9999 sent to Arpit via UPI. Transaction ID 989227408,safe
Alert: Your PNB debit card will expire today. Update details on this link https://verify-account.xyz,scam
Income tax refund of Rs 25000 approved. Click to claim before deadline https://prize-winner-claim.info,scam
"Work from home and earn Rs 999 per week guaranteed, limited seats, register now https://verify-account.xyz",scam
Your electricity bill of Rs 25000 is pending. Pay now to avoid disconnection https://refund-claim.tk,scam
Your flight PNR D5BFBG is confirmed for tomorrow 6am departure,safe
Your flight PNR E33GFD is confirmed for tomorrow 6am departure,safe
Rs 1500 sent to Suresh via UPI. Transaction ID 173346810,safe
Your flight PNR FDEH4D is confirmed for tomorrow 6am departure,safe
Alert: Your HDFC debit card will expire today. Update details on this link https://tinyurl.com/claim-now,scam
"Work from home and earn Rs 25000 per week guaranteed, limited seats, register now https://secure-bank-verify.com",scam
Dear customer your PNB KYC will expire today. Update immediately or account will be blocked https://instant-loan-approve.com,scam
Rs 50000 credited to your account from salary. Available balance Rs 999,safe
Loan approved instantly! No documents required. Click here to get Rs 9999 in your account https://bit.ly/kyc-update,scam
Rs 25000 credited to your account from salary. Available balance Rs 15000,safe
Hurry! Only 2 hours left to claim your Rs 9999 cashback reward https://kyc-update-now.info,scam
"Priya, your PNB account balance is Rs 500 as of today",safe
Your Paytm KYC is incomplete. Complete now or wallet will be frozen https://account-block-alert.xyz,scam
Last warning: Your Aadhaar linked SBI account will be deactivated today. Verify now https://account-block-alert.xyz,scam
Your flight PNR 1255EC is confirmed for tomorrow 6am departure,safe
Your electricity bill of Rs 15000 has been paid successfully,safe
Arpit has sent you a payment request of Rs 10000 on ICICI. Approve now https://verify-account.xyz,scam
"Anjali, your Axis Bank account balance is Rs 500 as of today",safe
Your BOB net banking has been locked due to suspicious activity. Unlock here https://kyc-update-now.info,scam
Your internet bill of Rs 500 has been auto-debited successfully,safe
Your OTP for login is 566184. Do not share this with anyone.,safe
Your internet bill of Rs 9999 has been auto-debited successfully,safe
Rs 2000 credited to your account from salary. Available balance Rs 1500,safe
Your electricity bill of Rs 2500 is pending. Pay now to avoid disconnection https://cashback-claim.tk,scam
Rs 5000 sent to Amit via UPI. Transaction ID 255502389,safe
Rs 2000 sent to Arush via UPI. Transaction ID 360500943,safe
Rs 100000 credited to your account from salary. Available balance Rs 100000,safe
Your flight PNR F12G11 is confirmed for tomorrow 6am departure,safe
Rs 100000 sent to Sneha via UPI. Transaction ID 119887505,safe
Your SBI account will be blocked in 24 hours. Update PAN card details immediately https://instant-loan-approve.com,scam
SBI security team: verify your account within 30 minutes to avoid permanent block https://tinyurl.com/claim-now,scam
Your UPI ID has been used for a transaction of Rs 15000. If not done by you click here to block https://instant-loan-approve.com,scam
Your ticket booking for the movie tonight is confirmed,safe
Your rent payment of Rs 50000 has been received by your landlord,safe
Get Rs 100000 cashback instantly. Just click and enter your UPI PIN to receive https://bit.ly/kyc-update,scam
Rs 999 sent to Suresh via UPI. Transaction ID 857238597,safe
Rahul has sent you a payment request of Rs 100000 on HDFC. Approve now https://secure-bank-verify.com,scam
"Priya, your Paytm account balance is Rs 5000 as of today",safe
Get Rs 10000 cashback instantly. Just click and enter your UPI PIN to receive https://cashback-claim.tk,scam
Your credit card limit has been increased to Rs 50000. Click to activate now https://cashback-claim.tk,scam
Your internet bill of Rs 50000 has been auto-debited successfully,safe
Rs 15000 sent to Sneha via UPI. Transaction ID 185119337,safe
Your Paytm KYC is incomplete. Complete now or wallet will be frozen https://kyc-update-now.info,scam
Rs 9999 has been debited from your account for Swiggy order. Available balance Rs 9999,safe
Rs 50000 has been debited from your account for Swiggy order. Available balance Rs 100000,safe
Rs 100000 has been debited from your account for Swiggy order. Available balance Rs 1500,safe
Happy birthday Neha! Wishing you a wonderful year ahead,safe
Your PhonePe KYC is incomplete. Complete now or wallet will be frozen https://verify-account.xyz,scam
Rs 500 sent to Kavita via UPI. Transaction ID 809111808,safe
"Arpit, your Axis Bank account balance is Rs 1500 as of today",safe
Your mobile number won a lottery of Rs 9999. Send your bank details to claim now,scam
You have an unclaimed parcel. Pay Rs 50000 customs fee to release it https://refund-claim.tk,scam
Kotak security team: verify your account within 30 minutes to avoid permanent block https://secure-bank-verify.com,scam
Your UPI ID has been used for a transaction of Rs 10000. If not done by you click here to block https://instant-loan-approve.com,scam
Your ICICI net banking has been locked due to suspicious activity. Unlock here https://prize-winner-claim.info,scam
Congratulations! You have won Rs 25000 in Google Pay lucky draw. Click here to claim https://kyc-update-now.info,scam
Congratulations! You have won Rs 50000 in SBI lucky draw. Click here to claim https://cashback-claim.tk,scam
Rs 500 sent to Amit via UPI. Transaction ID 562367655,safe
Your ICICI KYC is incomplete. Complete now or wallet will be frozen https://tinyurl.com/claim-now,scam
Your Netflix subscription has been renewed for Rs 500,safe
"Your Zomato order is out for delivery, arriving in 15 minutes",safe
Rs 2000 credited to your account from salary. Available balance Rs 100000,safe
Get Rs 9999 cashback instantly. Just click and enter your UPI PIN to receive https://secure-bank-verify.com,scam
Rs 50000 has been debited from your account for Swiggy order. Available balance Rs 999,safe
Your credit card limit has been increased to Rs 100000. Click to activate now https://tinyurl.com/claim-now,scam
Your college fee payment of Rs 10000 has been received successfully,safe
Paytm alert: Unusual activity detected on your account. Confirm your identity by entering OTP on this link https://prize-winner-claim.info,scam
"Vikram, your SBI account balance is Rs 9999 as of today",safe
Your UPI ID has been used for a transaction of Rs 10000. If not done by you click here to block https://refund-claim.tk,scam
Your flight PNR 53AA2G is confirmed for tomorrow 6am departure,safe
Loan approved instantly! No documents required. Click here to get Rs 25000 in your account https://cashback-claim.tk,scam
Your UPI ID has been used for a transaction of Rs 50000. If not done by you click here to block https://cashback-claim.tk,scam
Your flight PNR EHF144 is confirmed for tomorrow 6am departure,safe
Job offer! Earn Rs 999 daily working from home. Register now and pay registration fee https://cashback-claim.tk,scam
Your OTP for login is 478702. Do not share this with anyone.,safe
"Rohan, your PNB account balance is Rs 10000 as of today",safe
Rs 1500 has been debited from your account for Swiggy order. Available balance Rs 15000,safe
Your flight PNR 14AGGA is confirmed for tomorrow 6am departure,safe
Rs 2000 credited to your account from salary. Available balance Rs 2500,safe
Rs 50000 sent to Arush via UPI. Transaction ID 609424194,safe
"Priya, your BOB account balance is Rs 5000 as of today",safe
Your mobile number won a lottery of Rs 999. Send your bank details to claim now,scam
Rs 500 credited to your account from salary. Available balance Rs 5000,safe
Congratulations! You have won Rs 10000 in Axis Bank lucky draw. Click here to claim https://tinyurl.com/claim-now,scam
Loan approved instantly! No documents required. Click here to get Rs 2000 in your account https://bit.ly/kyc-update,scam
Your SBI net banking has been locked due to suspicious activity. Unlock here https://verify-account.xyz,scam
Your credit card limit has been increased to Rs 100000. Click to activate now https://prize-winner-claim.info,scam
Free 1 year subscription waiting for you. Click here to activate https://bit.ly/kyc-update,scam
Rs 2000 has been debited from your account for Swiggy order. Available balance Rs 50000,safe
Job offer! Earn Rs 500 daily working from home. Register now and pay registration fee https://kyc-update-now.info,scam
Kotak alert: Unusual activity detected on your account. Confirm your identity by entering OTP on this link https://prize-winner-claim.info,scam
You have received Rs 9999 refund from HDFC. Click link to collect https://instant-loan-approve.com,scam
Congratulations! You have won Rs 50000 in SBI lucky draw. Click here to claim https://refund-claim.tk,scam
Rs 999 has been debited from your account for Swiggy order. Available balance Rs 100000,safe
Your flight PNR 1FFC32 is confirmed for tomorrow 6am departure,safe
SBI alert: Unusual activity detected on your account. Confirm your identity by entering OTP on this link https://account-block-alert.xyz,scam
Your recharge of Rs 5000 was successful. Validity till next month,safe
abhijeet has sent you a payment request of Rs 100000 on SBI. Approve now https://refund-claim.tk,scam
Your flight PNR EG143G is confirmed for tomorrow 6am departure,safe
"Anjali, your ICICI account balance is Rs 9999 as of today",safe
URGENT: Your HDFC account has been suspended. Verify your UPI PIN now to reactivate https://tinyurl.com/claim-now,scam
Job offer! Earn Rs 2500 daily working from home. Register now and pay registration fee https://kyc-update-now.info,scam
Paytm alert: Unusual activity detected on your account. Confirm your identity by entering OTP on this link https://tinyurl.com/claim-now,scam
Your flight PNR D12AEA is confirmed for tomorrow 6am departure,safe
Your food delivery partner Vikram has picked up your order,safe
Your flight PNR 2E5E3C is confirmed for tomorrow 6am departure,safe
Your flight PNR B3HCC2 is confirmed for tomorrow 6am departure,safe
Rs 9999 credited to your account from salary. Available balance Rs 2000,safe
SBI alert: Unusual activity detected on your account. Confirm your identity by entering OTP on this link https://instant-loan-approve.com,scam
Job offer! Earn Rs 9999 daily working from home. Register now and pay registration fee https://bit.ly/kyc-update,scam
Income tax refund of Rs 10000 approved. Click to claim before deadline https://account-block-alert.xyz,scam
Alert: Your Paytm debit card will expire today. Update details on this link https://prize-winner-claim.info,scam
URGENT: Your Axis Bank account has been suspended. Verify your UPI PIN now to reactivate https://bit.ly/kyc-update,scam
Your OTP for login is 592491. Do not share this with anyone.,safe
Alert: Your HDFC debit card will expire today. Update details on this link https://verify-account.xyz,scam
Congratulations you are selected for lucky winner prize of Rs 2000. Claim now https://secure-bank-verify.com,scam
Your flight PNR DC2FBF is confirmed for tomorrow 6am departure,safe
Your electricity bill of Rs 100000 has been paid successfully,safe
Your OTP for login is 913550. Do not share this with anyone.,safe
"Suresh, your BOB account balance is Rs 9999 as of today",safe
Rs 15000 sent to Rahul via UPI. Transaction ID 552345128,safe
You have received Rs 999 refund from PNB. Click link to collect https://bit.ly/kyc-update,scam
Rs 10000 credited to your account from salary. Available balance Rs 100000,safe
Alert: Your Axis Bank debit card will expire today. Update details on this link https://tinyurl.com/claim-now,scam
"Anjali, your PhonePe account balance is Rs 9999 as of today",safe
You have an unclaimed parcel. Pay Rs 999 customs fee to release it https://tinyurl.com/claim-now,scam
Income tax refund of Rs 500 approved. Click to claim before deadline https://verify-account.xyz,scam
Your book is due for return at the library by next Tuesday,safe
Your OTP for login is 283630. Do not share this with anyone.,safe
Your college fee payment of Rs 1500 has been received successfully,safe
Alert: Your HDFC debit card will expire today. Update details on this link https://instant-loan-approve.com,scam
Rs 100000 credited to your account from salary. Available balance Rs 999,safe
Your Paytm net banking has been locked due to suspicious activity. Unlock here https://prize-winner-claim.info,scam
Rs 5000 has been debited from your account for Swiggy order. Available balance Rs 999,safe
Your flight PNR AB4232 is confirmed for tomorrow 6am departure,safe
Free recharge of Rs 50000 waiting for you. Click to claim before offer expires https://tinyurl.com/claim-now,scam
Rs 2500 credited to your account from salary. Available balance Rs 2000,safe
"Amit, your Axis Bank account balance is Rs 1500 as of today",safe
Job offer! Earn Rs 2000 daily working from home. Register now and pay registration fee https://verify-account.xyz,scam
Rs 1500 credited to your account from salary. Available balance Rs 9999,safe
Your UPI ID has been used for a transaction of Rs 500. If not done by you click here to block https://kyc-update-now.info,scam
Rs 5000 sent to abhijeet via UPI. Transaction ID 462993315,safe
Income tax refund of Rs 5000 approved. Click to claim before deadline https://verify-account.xyz,scam
Your rent payment of Rs 5000 has been received by your landlord,safe
Your flight PNR HD2GGF is confirmed for tomorrow 6am departure,safe
Free recharge of Rs 10000 waiting for you. Click to claim before offer expires https://kyc-update-now.info,scam
Your OTP for login is 497817. Do not share this with anyone.,safe
URGENT: Your Paytm account has been suspended. Verify your UPI PIN now to reactivate https://instant-loan-approve.com,scam
Your OTP for login is 285710. Do not share this with anyone.,safe
URGENT: Your ICICI account has been suspended. Verify your UPI PIN now to reactivate https://tinyurl.com/claim-now,scam
Income tax refund of Rs 25000 approved. Click to claim before deadline https://account-block-alert.xyz,scam
Your electricity connection will be cut tonight. Pay pending bill immediately https://verify-account.xyz,scam
"Arpit, your PhonePe account balance is Rs 15000 as of today",safe
Congratulations you are selected for lucky winner prize of Rs 25000. Claim now https://tinyurl.com/claim-now,scam
Alert: Your ICICI debit card will expire today. Update details on this link https://refund-claim.tk,scam
"Work from home and earn Rs 1500 per week guaranteed, limited seats, register now https://verify-account.xyz",scam
Alert: Your BOB debit card will expire today. Update details on this link https://refund-claim.tk,scam
Rs 500 has been debited from your account for Swiggy order. Available balance Rs 100000,safe
Rs 100000 sent to Rahul via UPI. Transaction ID 242099130,safe
You are eligible for a government subsidy of Rs 2000. Claim before it expires https://refund-claim.tk,scam
Your UPI ID has been used for a transaction of Rs 500. If not done by you click here to block https://cashback-claim.tk,scam
Congratulations! You have won Rs 10000 in Paytm lucky draw. Click here to claim https://refund-claim.tk,scam
Last warning: Your Aadhaar linked Paytm account will be deactivated today. Verify now https://tinyurl.com/claim-now,scam
Loan approved instantly! No documents required. Click here to get Rs 100000 in your account https://kyc-update-now.info,scam
Congratulations! You have won Rs 999 in BOB lucky draw. Click here to claim https://bit.ly/kyc-update,scam
Vikram has sent you a payment request of Rs 5000 on Google Pay. Approve now https://cashback-claim.tk,scam
Rs 1500 has been debited from your account for Swiggy order. Available balance Rs 25000,safe
Rs 25000 has been debited from your account for Swiggy order. Available balance Rs 15000,safe
Rs 5000 has been debited from your account for Swiggy order. Available balance Rs 500,safe
You have an unclaimed parcel. Pay Rs 25000 customs fee to release it https://cashback-claim.tk,scam
"Work from home and earn Rs 15000 per week guaranteed, limited seats, register now https://kyc-update-now.info",scam
Your Netflix subscription has been renewed for Rs 1500,safe
Happy birthday Priya! Wishing you a wonderful year ahead,safe
Your flight PNR FE224A is confirmed for tomorrow 6am departure,safe
URGENT: Your Google Pay account has been suspended. Verify your UPI PIN now to reactivate https://secure-bank-verify.com,scam
"Vikram, your PNB account balance is Rs 999 as of today",safe
Your mobile number won a lottery of Rs 500. Send your bank details to claim now,scam
Congratulations you are selected for lucky winner prize of Rs 50000. Claim now https://tinyurl.com/claim-now,scam
Your mobile number won a lottery of Rs 1500. Send your bank details to claim now,scam
Free recharge of Rs 100000 waiting for you. Click to claim before offer expires https://secure-bank-verify.com,scam
Your flight PNR HGB5GB is confirmed for tomorrow 6am departure,safe
Your OTP for login is 578441. Do not share this with anyone.,safe
Last warning: Your Aadhaar linked Kotak account will be deactivated today. Verify now https://tinyurl.com/claim-now,scam
Your rent payment of Rs 2500 has been received by your landlord,safe
Get Rs 15000 cashback instantly. Just click and enter your UPI PIN to receive https://verify-account.xyz,scam
Arush has sent you a payment request of Rs 2500 on Axis Bank. Approve now https://verify-account.xyz,scam
Your SBI net banking has been locked due to suspicious activity. Unlock here https://cashback-claim.tk,scam
"Neha, your Axis Bank account balance is Rs 5000 as of today",safe
Your SIM card will be deactivated today due to KYC mismatch. Update now https://bit.ly/kyc-update,scam
Rs 15000 has been debited from your account for Swiggy order. Available balance Rs 999,safe
You have received Rs 15000 refund from SBI. Click link to collect https://tinyurl.com/claim-now,scam
Job offer! Earn Rs 999 daily working from home. Register now and pay registration fee https://tinyurl.com/claim-now,scam
Rs 100000 credited to your account from salary. Available balance Rs 2000,safe
Your Kotak account will be blocked in 24 hours. Update PAN card details immediately https://verify-account.xyz,scam
Rs 500 sent to Rahul via UPI. Transaction ID 964059023,safe
"Vikram, your Kotak account balance is Rs 10000 as of today",safe
Rs 999 sent to abhijeet via UPI. Transaction ID 280031242,safe
Get Rs 500 cashback instantly. Just click and enter your UPI PIN to receive https://tinyurl.com/claim-now,scam
Your ICICI KYC is incomplete. Complete now or wallet will be frozen https://verify-account.xyz,scam
URGENT: Your PNB account has been suspended. Verify your UPI PIN now to reactivate https://secure-bank-verify.com,scam
Your electricity bill of Rs 2000 has been paid successfully,safe
Your electricity bill of Rs 25000 is pending. Pay now to avoid disconnection https://prize-winner-claim.info,scam
Income tax refund of Rs 500 approved. Click to claim before deadline https://refund-claim.tk,scam
Your UPI ID has been used for a transaction of Rs 500. If not done by you click here to block https://secure-bank-verify.com,scam
Rs 2500 has been debited from your account for Swiggy order. Available balance Rs 9999,safe
"Rohan, your Kotak account balance is Rs 999 as of today",safe
"Priya, your Kotak account balance is Rs 100000 as of today",safe
Reminder: Submit your assignment by Friday 5pm,safe
Your BOB net banking has been locked due to suspicious activity. Unlock here https://bit.ly/kyc-update,scam
Your ICICI net banking has been locked due to suspicious activity. Unlock here https://account-block-alert.xyz,scam
You are eligible for a government subsidy of Rs 500. Claim before it expires https://account-block-alert.xyz,scam
"Neha, your HDFC account balance is Rs 10000 as of today",safe
URGENT: Your Kotak account has been suspended. Verify your UPI PIN now to reactivate https://verify-account.xyz,scam
Free recharge of Rs 15000 waiting for you. Click to claim before offer expires https://bit.ly/kyc-update,scam
"Work from home and earn Rs 100000 per week guaranteed, limited seats, register now https://tinyurl.com/claim-now",scam
"Sneha, your Paytm account balance is Rs 2000 as of today",safe
Dear customer your Paytm KYC will expire today. Update immediately or account will be blocked https://instant-loan-approve.com,scam
You have received Rs 2500 refund from ICICI. Click link to collect https://tinyurl.com/claim-now,scam
URGENT: Your HDFC account has been suspended. Verify your UPI PIN now to reactivate https://account-block-alert.xyz,scam
Your OTP for login is 251397. Do not share this with anyone.,safe
"Vikram, your BOB account balance is Rs 2500 as of today",safe
Your HDFC KYC is incomplete. Complete now or wallet will be frozen https://verify-account.xyz,scam
Your OTP for login is 759253. Do not share this with anyone.,safe
Your OTP for login is 945365. Do not share this with anyone.,safe
"Neha, your Google Pay account balance is Rs 1500 as of today",safe
Rs 5000 sent to Kavita via UPI. Transaction ID 138356545,safe
Rs 100000 sent to Priya via UPI. Transaction ID 262290463,safe
Rs 10000 credited to your account from salary. Available balance Rs 2000,safe
Rs 25000 has been debited from your account for Swiggy order. Available balance Rs 2000,safe
Your mobile number won a lottery of Rs 2500. Send your bank details to claim now,scam
"Dear user, someone tried to login to your BOB account. Click to secure your account immediately https://verify-account.xyz",scam
Your ICICI account will be blocked in 24 hours. Update PAN card details immediately https://tinyurl.com/claim-now,scam
Your electricity bill of Rs 2000 is pending. Pay now to avoid disconnection https://tinyurl.com/claim-now,scam
"abhijeet, your PhonePe account balance is Rs 2500 as of today",safe
You are eligible for a government subsidy of Rs 2500. Claim before it expires https://verify-account.xyz,scam
Last warning: Your Aadhaar linked ICICI account will be deactivated today. Verify now https://tinyurl.com/claim-now,scam
Your credit card limit has been increased to Rs 25000. Click to activate now https://kyc-update-now.info,scam
Your UPI ID has been used for a transaction of Rs 999. If not done by you click here to block https://secure-bank-verify.com,scam
Your OTP for login is 540077. Do not share this with anyone.,safe
Your flight PNR 3AE1EB is confirmed for tomorrow 6am departure,safe
"Amit, your Axis Bank account balance is Rs 999 as of today",safe
Job offer! Earn Rs 1500 daily working from home. Register now and pay registration fee https://refund-claim.tk,scam
Last warning: Your Aadhaar linked Axis Bank account will be deactivated today. Verify now https://instant-loan-approve.com,scam
Your recharge of Rs 1500 was successful. Validity till next month,safe
Hurry! Only 2 hours left to claim your Rs 999 cashback reward https://bit.ly/kyc-update,scam
Your OTP for login is 471910. Do not share this with anyone.,safe
Your mobile number won a lottery of Rs 50000. Send your bank details to claim now,scam
Rs 999 credited to your account from salary. Available balance Rs 50000,safe
Your flight PNR 2G3F34 is confirmed for tomorrow 6am departure,safe
Get Rs 10000 cashback instantly. Just click and enter your UPI PIN to receive https://account-block-alert.xyz,scam
Get Rs 15000 cashback instantly. Just click and enter your UPI PIN to receive https://secure-bank-verify.com,scam
Your HDFC statement for last month is now available in the app,safe
Thank you for shopping with us. Your invoice has been generated,safe
Your flight PNR 4A1HB2 is confirmed for tomorrow 6am departure,safe
"Kavita, your Google Pay account balance is Rs 100000 as of today",safe
You are eligible for a government subsidy of Rs 2000. Claim before it expires https://instant-loan-approve.com,scam
URGENT: Your PhonePe account has been suspended. Verify your UPI PIN now to reactivate https://kyc-update-now.info,scam
Your mobile number won a lottery of Rs 100000. Send your bank details to claim now,scam
Free 1 year subscription waiting for you. Click here to activate https://kyc-update-now.info,scam
Loan approved instantly! No documents required. Click here to get Rs 25000 in your account https://prize-winner-claim.info,scam
You have an unclaimed parcel. Pay Rs 999 customs fee to release it https://cashback-claim.tk,scam
Your flight PNR AH45GF is confirmed for tomorrow 6am departure,safe
Class test postponed to next week due to holiday,safe
You have received Rs 5000 refund from ICICI. Click link to collect https://kyc-update-now.info,scam
Happy birthday Arpit! Wishing you a wonderful year ahead,safe
You are eligible for a government subsidy of Rs 1500. Claim before it expires https://cashback-claim.tk,scam
Your UPI ID has been used for a transaction of Rs 2000. If not done by you click here to block https://kyc-update-now.info,scam
Your internet bill of Rs 100000 has been auto-debited successfully,safe
Kotak alert: Unusual activity detected on your account. Confirm your identity by entering OTP on this link https://refund-claim.tk,scam
Free recharge of Rs 2500 waiting for you. Click to claim before offer expires https://bit.ly/kyc-update,scam
You have an unclaimed parcel. Pay Rs 5000 customs fee to release it https://instant-loan-approve.com,scam
Last warning: Your Aadhaar linked SBI account will be deactivated today. Verify now https://verify-account.xyz,scam
Paytm security team: verify your account within 30 minutes to avoid permanent block https://verify-account.xyz,scam
You have an unclaimed parcel. Pay Rs 999 customs fee to release it https://bit.ly/kyc-update,scam
Your Kotak KYC is incomplete. Complete now or wallet will be frozen https://tinyurl.com/claim-now,scam
Get Rs 2000 cashback instantly. Just click and enter your UPI PIN to receive https://prize-winner-claim.info,scam
Your flight PNR DECAD4 is confirmed for tomorrow 6am departure,safe
Income tax refund of Rs 15000 approved. Click to claim before deadline https://tinyurl.com/claim-now,scam
Loan approved instantly! No documents required. Click here to get Rs 50000 in your account https://verify-account.xyz,scam
You have received Rs 500 refund from SBI. Click link to collect https://secure-bank-verify.com,scam
URGENT: Your HDFC account has been suspended. Verify your UPI PIN now to reactivate https://cashback-claim.tk,scam
Rs 15000 sent to Anjali via UPI. Transaction ID 433986301,safe
Your UPI ID has been used for a transaction of Rs 100000. If not done by you click here to block https://refund-claim.tk,scam
Income tax refund of Rs 2500 approved. Click to claim before deadline https://cashback-claim.tk,scam
Your flight PNR DHG4FA is confirmed for tomorrow 6am departure,safe
URGENT: Your PhonePe account has been suspended. Verify your UPI PIN now to reactivate https://instant-loan-approve.com,scam
"Neha, your HDFC account balance is Rs 100000 as of today",safe
Your electricity connection will be cut tonight. Pay pending bill immediately https://tinyurl.com/claim-now,scam
Your Axis Bank account will be blocked in 24 hours. Update PAN card details immediately https://refund-claim.tk,scam
